3993 4120
-1 0 
0 1 
0 2 
1 3 
1 4 
2 5 
2 6 
3 7 
3 8 
4 9 
4 10 
5 11 
5 12 
6 13 
6 14 
7 15 
7 16 
8 17 
8 18 
9 19 
9 20 
10 21 
10 22 
11 23 
11 24 
12 25 
12 26 
13 27 
13 28 
14 29 
14 30 
15 31 
15 32 
16 33 
16 34 
17 35 
17 36 
18 37 
18 38 
19 39 
19 40 
20 41 
20 42 
21 43 
21 44 
22 45 
22 46 
23 47 
23 48 
24 49 
24 50 
25 51 
25 52 
26 53 
26 54 
27 55 
27 56 
28 57 
28 58 
29 59 
29 60 
30 61 
30 62 
31 63 
63 64 55
63 65 328
63 66 363
63 67 445
63 68 533
63 69 561
63 70 643
63 71 814
63 72 816
63 73 994
63 74 1113
63 75 1284
63 76 1306
63 77 1380
63 78 1400
63 79 1483
63 80 1680
63 81 1778
63 82 1809
63 83 1904
63 84 1940
63 85 1958
63 86 1987
63 87 1988
63 88 1992
63 89 1998
63 90 2002
63 91 2003
63 92 2029
63 93 2106
63 94 2174
63 95 2176
63 96 2236
63 97 2240
63 98 2329
63 99 2366
63 100 2408
63 101 2445
63 102 2511
63 103 2512
63 104 2578
63 105 2645
63 106 2719
63 107 2721
63 108 2722
63 109 2726
63 110 2787
63 111 2876
63 112 3108
63 113 3163
63 114 3275
63 115 3284
63 116 3285
63 117 3286
63 118 3296
63 119 3459
63 120 3476
63 121 3600
63 122 3692
63 123 3702
63 124 3847
63 125 3867
63 126 3872
31 127 
127 128 401
127 129 478
127 130 499
127 131 500
127 132 671
127 133 743
127 134 750
127 135 803
127 136 804
127 137 911
127 138 980
127 139 1023
127 140 1149
127 141 1191
127 142 1238
127 143 1489
127 144 1790
127 145 1926
127 146 1957
127 147 1960
127 148 2039
127 149 2130
127 150 2144
127 151 2167
127 152 2231
127 153 2353
127 154 2357
127 155 2435
127 156 2437
127 157 2514
127 158 2555
127 159 2568
127 160 2674
127 161 2884
127 162 2886
127 163 2940
